row_number(),Registration number,Reg_Num_f,Group_Number_f,Notes
377,31353,NA,NA,NA
378,31354,NA,NA,NA
379,31365,NA>18022>33039>33472>9528>14725>28296>33921>9516>9853>14730>20308>27858>30461>20329>27054>27860>30462>34299,NA>6 & 4>4 & 2>10>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4,NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA
380,31405,NA>24359>25344>25866>26920>27487>27615>27764>27946>27988>28072>28198>28322>28486>28487>28608>28609>28840>28977>29022>29124>29125>29126>29290>29479>29480>29498>29588>29775>29841>29868>29888>29995>30076>30104>30366>30423>30516>30678>30721>31063>31090>31199>31314>31316>31493>31598>31655>31913>32181>32209>32228>32314>32457>32504>32532>32817>32945>33029>33087>33088>33337>33379>33400>33671>33675>33694>33697>33746>33768>33849>33850>33898>33940>33976>34044>34320>34489>34529>34674>34686>34720>34810>34847>34874,NA>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9,NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA
381,31406,NA,NA,NA
382,31410,NA,NA,NA
383,31428,NA>28555>29256>29289,NA>1>1>1,"NA>Do not tank mix with 2,4-D amine or MCPA amine formulation or with any other herbicide, insecticide, fungicide, fertilizer solution or adjuvant not recommended on the label; Do not mix with broadleaf herbicides when applying to cereal crops underseeded to forage legumes as the forages may be injured or killed.;Do not feed or graze underseeded forage crops in the year of treatment.;Do not replant treated areas to tame oats or corn for at least 4 weeks after application;Do not apply to any body of water.; Do not apply within 15 metres by ground and (50 metres by air) of non-crop areas.>Do not tank mix with 2,4-D amine or MCPA amine formulation or with any other herbicide, insecticide, fungicide, fertilizer solution or adjuvant not recommended on the label; Do not mix with broadleaf herbicides when applying to cereal crops underseeded to forage legumes as the forages may be injured or killed.;Do not feed or graze underseeded forage crops in the year of treatment.;Do not replant treated areas to tame oats or corn for at least 4 weeks after application;Do not apply to any body of water.; Do not apply within 15 metres by ground and (50 metres by air) of non-crop areas.>Do not tank mix with 2,4-D amine or MCPA amine formulation or with any other herbicide, insecticide, fungicide, fertilizer solution or adjuvant not recommended on the label; Do not mix with broadleaf herbicides when applying to cereal crops underseeded to forage legumes as the forages may be injured or killed.;Do not feed or graze underseeded forage crops in the year of treatment.;Do not replant treated areas to tame oats or corn for at least 4 weeks after application;Do not apply to any body of water.; Do not apply within 15 metres by ground and (50 metres by air) of non-crop areas."
384,31430,NA>27487>27910>27911>27912>27988>28198>28276>28322>28487>28573>28840>29089>29172>29498>29775>29888>30341>30428>31493>31536>31655>32265>32497>32539>32817>32945>33114>33258>33370>33379>33400>33538>33697>33762>33795>33869>34173>34383>34489>34501>29012;+28573;+29022>29012;+28573;+29290>29012;+28573;+28322>29012;+28573;+29480>29012;+28573;+30678>29012;+28573;+31063>29012;+28573;+31493>29012;+28573;+33087>29012;+28573;+33088>29012;+28573;+33694>29012;+28573;+33768,NA>9>4>4>4>9>9>6>9>9>14>9>1>1>9>9>9>1>1>9>4>9>4>1>1>9>9>4>2>2>9>9>2>9>4>4>14 & 15>6 & 4>6 & 4>9>4>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9,NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>FMC supports this tank mix that is not on the AIM EC label>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>Flax only>Flax only>Flax only>Flax only>Flax only>Flax only>Flax only>Flax only>Flax only>Flax only>Flax only
385,31432,NA>27910>23957>26280>27891>27487>27911>27912>27988>28198>28276>28322>28487>28573>28840>29089>29172>29498>29775>29888>30341>30428>31493>31536>31655>32265>32497>32539>32817>32945>33114>33258>33370>33379>33400>33538>33697>33762>33795>33869>34173>34383>34489>34501>27891;+18837>27891;+23957>27891;+26722>27891;+28761>27891;+29223>27891;+31198>27891;+31536>27891;+31745>27891;+32603>27891;+33851>27891;+34024>27891;+34737>29012;+28573;+29022>29012;+28573;+29290>29012;+28573;+28322>29012;+28573;+29480>29012;+28573;+30678>29012;+28573;+31063>29012;+28573;+31493>29012;+28573;+33087>29012;+28573;+33088>29012;+28573;+33694>29012;+28573;+33768,NA>4>4>5>4>9>4>4>9>9>6>9>9>14>9>1>1>9>9>9>1>1>9>4>9>4>1>1>9>9>4>2>2>9>9>2>9>4>4>14 & 15>6 & 4>6 & 4>9>4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9,NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>FMC supports this tank mix that is not on the AIM EC label>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>Flax only>Flax only>Flax only>Flax only>Flax only>Flax only>Flax only>Flax only>Flax only>Flax only>Flax only
386,31434,NA,NA,NA
387,31468,NA>33697>24359>25344>25866>26920>27487>27615>27764>27946>27988>28072>28198>28322>28486>28487>28608>28609>28840>28977>29022>29124>29125>29126>29290>29479>29480>29498>29588>29775>29841>29868>29888>29995>30076>30104>30366>30423>30516>30678>30721>31063>31090>31199>31314>31316>31493>31598>31655>31913>32181>32209>32228>32314>32457>32504>32532>32817>32945>33029>33087>33088>33337>33379>33400>33671>33675>33694>33746>33768>33849>33850>33898>33940>33976>34044>34320>34489>34529>34674>34686>34720>34810>34847>34874>32542;+24359>32542;+25344>32542;+25866>32542;+26920>32542;+27487>32542;+27615>32542;+27764>32542;+27946>32542;+27988>32542;+28072>32542;+28198>32542;+28322>32542;+28486>32542;+28487>32542;+28608>32542;+28609>32542;+28840>32542;+28977>32542;+29022>32542;+29124>32542;+29125>32542;+29126>32542;+29290>32542;+29479>32542;+29480>32542;+29498>32542;+29588>32542;+29775>32542;+29841>32542;+29868>32542;+29888>32542;+29995>32542;+30076>32542;+30104>32542;+30366>32542;+30423>32542;+30516>32542;+30678>32542;+30721>32542;+31063>32542;+31090>32542;+31199>32542;+31314>32542;+31316>32542;+31493>32542;+31598>32542;+31655>32542;+31913>32542;+32181>32542;+32209>32542;+32228>32542;+32314>32542;+32457>32542;+32504>32542;+32532>32542;+32817>32542;+32945>32542;+33029>32542;+33087>32542;+33088>32542;+33337>32542;+33379>32542;+33400>32542;+33671>32542;+33675>32542;+33694>32542;+33697>32542;+33746>32542;+33768>32542;+33849>32542;+33850>32542;+33898>32542;+33940>32542;+33976>32542;+34044>32542;+34320>32542;+34489>32542;+34529>32542;+34674>32542;+34686>32542;+34720>32542;+34810>32542;+34847>32542;+34874>24359;+32542>25344;+32542>25866;+32542>26920;+32542>27487;+32542>27615;+32542>27764;+32542>27946;+32542>27988;+32542>28072;+32542>28198;+32542>28322;+32542>28486;+32542>28487;+32542>28608;+32542>28609;+32542>28840;+32542>28977;+32542>29022;+32542>29124;+32542>29125;+32542>29126;+32542>29290;+32542>29479;+32542>29480;+32542>29498;+32542>29588;+32542>29775;+32542>29841;+32542>29868;+32542>29888;+32542>29995;+32542>30076;+32542>30104;+32542>30366;+32542>30423;+32542>30516;+32542>30678;+32542>30721;+32542>31063;+32542>31090;+32542>31199;+32542>31314;+32542>31316;+32542>31493;+32542>31598;+32542>31655;+32542>31913;+32542>32181;+32542>32209;+32542>32228;+32542>32314;+32542>32457;+32542>32504;+32542>32532;+32542>32817;+32542>32945;+32542>33029;+32542>33087;+32542>33088;+32542>33337;+32542>33379;+32542>33400;+32542>33671;+32542>33675;+32542>33694;+32542>33697;+32542>33746;+32542>33768;+32542>33849;+32542>33850;+32542>33898;+32542>33940;+32542>33976;+32542>34044;+32542>34320;+32542>34489;+32542>34529;+32542>34674;+32542>34686;+32542>34720;+32542>34810;+32542>34847;+32542>34874;+32542,NA>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15,NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA
388,31469,NA>24359;+32542>25344;+32542>25866;+32542>26920;+32542>27487;+32542>27615;+32542>27764;+32542>27946;+32542>27988;+32542>28072;+32542>28198;+32542>28322;+32542>28486;+32542>28487;+32542>28608;+32542>28609;+32542>28840;+32542>28977;+32542>29022;+32542>29124;+32542>29125;+32542>29126;+32542>29290;+32542>29479;+32542>29480;+32542>29498;+32542>29588;+32542>29775;+32542>29841;+32542>29868;+32542>29888;+32542>29995;+32542>30076;+32542>30104;+32542>30366;+32542>30423;+32542>30516;+32542>30678;+32542>30721;+32542>31063;+32542>31090;+32542>31199;+32542>31314;+32542>31316;+32542>31493;+32542>31598;+32542>31655;+32542>31913;+32542>32181;+32542>32209;+32542>32228;+32542>32314;+32542>32457;+32542>32504;+32542>32532;+32542>32817;+32542>32945;+32542>33029;+32542>33087;+32542>33088;+32542>33337;+32542>33379;+32542>33400;+32542>33671;+32542>33675;+32542>33694;+32542>33697;+32542>33746;+32542>33768;+32542>33849;+32542>33850;+32542>33898;+32542>33940;+32542>33976;+32542>34044;+32542>34320;+32542>34489;+32542>34529;+32542>34674;+32542>34686;+32542>34720;+32542>34810;+32542>34847;+32542>34874;+32542,NA>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15,NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA
